,SK_ID_CURR
276,100277
277,100278
278,100279
279,100280
280,100281
281,100282
282,100283
283,100284
284,100285
285,100286
286,100287
287,100288
288,100289
289,100290
290,100291
291,100292
292,100293
293,100294
294,100295
295,100296
296,100297
297,100298
298,100299
299,100300
300,100301
301,100302
302,100303
303,100304
304,100305
305,100306
306,100307
307,100308
308,100309
309,100310
310,100311
311,100312
312,100313
313,100314
314,100315
315,100316
316,100317
317,100318
318,100319
319,100320
320,100321
321,100322
322,100323
323,100324
324,100325
325,100326
326,100327
327,100328
328,100329
329,100330
330,100331
331,100332
332,100333
333,100334
334,100335
335,100336
336,100337
337,100338
338,100339
339,100340
340,100341
341,100342
342,100343
343,100344
344,100345
345,100346
346,100347
347,100348
348,100349
349,100350
350,100351
351,100352
352,100353
353,100354
354,100355
355,100356
356,100357
357,100358
358,100359
359,100360
360,100361
361,100362
362,100363
363,100364
364,100365
365,100366
366,100367
367,100368
368,100369
369,100370
370,100371
371,100372
372,100373
373,100374
374,100375
375,100376
376,100377
377,100378
378,100379
379,100380
380,100381
381,100382
382,100383
383,100384
384,100385
385,100386
386,100387
387,100388
388,100389
389,100390
390,100391
391,100392
392,100393
393,100394
394,100395
395,100396
396,100397
397,100398
398,100399
399,100400
400,100401
401,100402
402,100403
403,100404
404,100405
405,100406
406,100407
407,100408
408,100409
409,100410
410,100411
411,100412
412,100413
413,100414
414,100415
415,100416
416,100417
417,100418
418,100419
419,100420
420,100421
421,100422
422,100423
423,100424
424,100425
425,100426
426,100427
427,100428
428,100429
429,100430
430,100431
431,100432
432,100433
433,100434
434,100435
435,100436
436,100437
437,100438
438,100439
439,100440
440,100441
441,100442
442,100443
443,100444
444,100445
445,100446
446,100447
447,100448
448,100449
449,100450
450,100451
451,100452
452,100453
453,100454
454,100455
455,100456
456,100457
457,100458
458,100459
459,100460
460,100461
461,100462
462,100463
463,100464
464,100465
465,100466
466,100467
467,100468
468,100469
469,100470
470,100471
471,100472
472,100473
473,100474
474,100475
475,100476
476,100477
477,100478
478,100479
479,100480
480,100481
481,100482
482,100483
483,100484
484,100485
485,100486
486,100487
487,100488
488,100489
489,100490
490,100491
491,100492
492,100493
493,100494
494,100495
495,100496
496,100497
497,100498
498,100499
499,100500
500,100501
501,100502
502,100503
503,100504
504,100505
505,100506
506,100507
507,100508
508,100509
509,100510
510,100511
511,100512
512,100513
513,100514
514,100515
515,100516
516,100517
517,100518
518,100519
519,100520
520,100521
521,100522
522,100523
523,100524
524,100525
525,100526
526,100527
527,100528
528,100529
529,100530
530,100531
531,100532
532,100533
533,100534
534,100535
535,100536
536,100537
537,100538
538,100539
539,100540
540,100541
541,100542
542,100543
543,100544
544,100545
545,100546
546,100547
547,100548
548,100549
549,100550
550,100551
551,100552
552,100553
553,100554
554,100555
555,100556
556,100557
557,100558
558,100559
559,100560
560,100561
561,100562
562,100563
563,100564
564,100565
565,100566
566,100567
567,100568
568,100569
569,100570
570,100571
571,100572
572,100573
573,100574
574,100575
575,100576
576,100577
577,100578
578,100579
579,100580
580,100581
581,100582
582,100583
583,100584
584,100585
585,100586
586,100587
587,100588
588,100589
589,100590
590,100591
591,100592
592,100593
593,100594
594,100595
595,100596
596,100597
597,100598
598,100599
599,100600
600,100601
601,100602
602,100603
603,100604
604,100605
605,100606
606,100607
607,100608
608,100609
609,100610
610,100611
611,100612
612,100613
613,100614
614,100615
615,100616
616,100617
617,100618
618,100619
619,100620
620,100621
621,100622
622,100623
623,100624
624,100625
625,100626
626,100627
627,100628
628,100629
629,100630
630,100631
631,100632
632,100633
633,100634
634,100635
635,100636
636,100637
637,100638
638,100639
639,100640
640,100641
641,100642
642,100643
643,100644
644,100645
645,100646
646,100647
647,100648
648,100649
649,100650
650,100651
651,100652
652,100653
653,100654
654,100655
655,100656
656,100657
657,100658
658,100659
659,100660
660,100661
661,100662
662,100663
663,100664
664,100665
665,100666
666,100667
667,100668
668,100669
669,100670
670,100671
671,100672
672,100673
673,100674
674,100675
675,100676
676,100677
677,100678
678,100679
679,100680
680,100681
681,100682
682,100683
683,100684
684,100685
685,100686
686,100687
687,100688
688,100689
689,100690
690,100691
691,100692
692,100693
693,100694
694,100695
695,100696
696,100697
697,100698
698,100699
699,100700
700,100701
701,100702
702,100703
703,100704
704,100705
705,100706
706,100707
707,100708
708,100709
709,100710
710,100711
711,100712
712,100713
713,100714
714,100715
715,100716
716,100717
717,100718
718,100719
719,100720
720,100721
721,100722
722,100723
723,100724
724,100725
725,100726
726,100727
727,100728
728,100729
729,100730
730,100731
731,100732
732,100733
733,100734
734,100735
735,100736
736,100737
737,100738
738,100739
739,100740
740,100741
741,100742
742,100743
743,100744
744,100745
745,100746
746,100747
747,100748
748,100749
749,100750
750,100751
751,100752
752,100753
753,100754
754,100755
755,100756
756,100757
757,100758
758,100759
759,100760
760,100761
761,100762
762,100763
763,100764
764,100765
765,100766
766,100767
767,100768
768,100769
769,100770
770,100771
771,100772
772,100773
773,100774
774,100775
775,100776
776,100777
777,100778
778,100779
779,100780
780,100781
781,100782
782,100783
783,100784
784,100785
785,100786
786,100787
787,100788
788,100789
789,100790
790,100791
791,100792
792,100793
793,100794
794,100795
795,100796
796,100797
797,100798
798,100799
799,100800
800,100801
801,100802
802,100803
803,100804
804,100805
805,100806
806,100807
807,100808
808,100809
809,100810
810,100811
811,100812
812,100813
813,100814
814,100815
815,100816
816,100817
817,100818
818,100819
819,100820
820,100821
821,100822
822,100823
823,100824
824,100825
825,100826
826,100827
827,100828
828,100829
829,100830
830,100831
831,100832
832,100833
833,100834
834,100835
835,100836
836,100837
837,100838
838,100839
839,100840
840,100841
841,100842
842,100843
843,100844
844,100845
845,100846
846,100847
847,100848
848,100849
849,100850
850,100851
851,100852
852,100853
853,100854
854,100855
855,100856
856,100857
857,100858
858,100859
859,100860
860,100861
861,100862
862,100863
863,100864
864,100865
865,100866
866,100867
867,100868
868,100869
869,100870
870,100871
871,100872
872,100873
873,100874
874,100875
875,100876
876,100877
877,100878
878,100879
879,100880
880,100881
881,100882
882,100883
883,100884
884,100885
885,100886
886,100887
887,100888
888,100889
889,100890
890,100891
891,100892
892,100893
893,100894
894,100895
895,100896
896,100897
897,100898
898,100899
899,100900
900,100901
901,100902
902,100903
903,100904
904,100905
905,100906
906,100907
907,100908
908,100909
909,100910
910,100911
911,100912
912,100913
913,100914
914,100915
915,100916
916,100917
917,100918
918,100919
919,100920
920,100921
921,100922
922,100923
923,100924
924,100925
925,100926
926,100927
927,100928
928,100929
929,100930
930,100931
931,100932
932,100933
933,100934
934,100935
935,100936
936,100937
937,100938
938,100939
939,100940
940,100941
941,100942
942,100943
943,100944
944,100945
945,100946
946,100947
947,100948
948,100949
949,100950
950,100951
951,100952
952,100953
953,100954
954,100955
955,100956
956,100957
957,100958
958,100959
959,100960
960,100961
961,100962
962,100963
963,100964
964,100965
965,100966
966,100967
967,100968
968,100969
969,100970
970,100971
971,100972
972,100973
973,100974
974,100975
975,100976
976,100977
977,100978
978,100979
979,100980
980,100981
981,100982
982,100983
983,100984
984,100985
985,100986
986,100987
987,100988
988,100989
989,100990
990,100991
991,100992
992,100993
993,100994
994,100995
995,100996
996,100997
997,100998
998,100999
999,101000
